75.51,77.96,73.06,74.32,51.08,83.37
76.2,73.31,79.09,77.81,52.49,83.15
76.3,77.21,75.38,75.83,52.61,84.25
76.07,76.32,75.82,75.94,52.14,83.06
76.79,74.59,78.99,78.02,53.63,83.62
76.17+0.46,75.88+1.91,76.47+2.57,76.38+1.54,52.39+0.92,83.49+0.48
0.46,1.91,2.57,1.54,0.92,0.48
