81.54,80.88,82.21,81.97,63.09,88.91
82.01,81.4,82.63,82.41,64.03,89.26
81.04,80.58,81.49,81.32,62.08,88.7
80.98,80.33,81.64,81.39,61.97,88.68
81.21,80.3,82.11,81.78,62.42,88.75
81.36+0.43,80.7+0.46,82.02+0.46,81.77+0.45,62.72+0.85,88.86+0.24
0.43,0.46,0.46,0.45,0.85,0.24
