76.43,76.1,76.77,76.61,52.87,83.59
76.04,75.36,76.72,76.4,52.08,83.64
76.62,76.25,76.99,76.82,53.24,83.8
75.54,75.18,75.9,75.72,51.08,82.98
76.55,75.75,77.36,76.99,53.11,83.94
76.24+0.45,75.73+0.46,76.75+0.54,76.51+0.49,52.48+0.9,83.59+0.37
0.45,0.46,0.54,0.49,0.9,0.37
