82.72,81.35,84.09,83.64,65.46,90.67
82.82,81.91,83.72,83.42,65.65,91.03
83.33,82.38,84.27,83.96,66.66,90.76
82.97,82.58,83.37,83.24,65.95,90.7
82.67,81.59,83.74,83.38,65.35,90.61
82.9+0.27,81.96+0.52,83.84+0.35,83.53+0.28,65.81+0.52,90.76+0.16
0.27,0.52,0.35,0.28,0.52,0.16
