70.04,67.94,72.14,70.92,40.11,77.43
68.78,65.34,72.22,70.16,37.64,76.61
69.95,67.39,72.51,71.03,39.96,77.23
68.29,66.34,70.23,69.03,36.6,76.46
69.92,66.89,72.95,71.21,39.92,77.94
69.4+0.81,66.78+1.0,72.01+1.04,70.47+0.9,38.85+1.62,77.13+0.61
0.81,1.0,1.04,0.9,1.62,0.61
