72.18,70.93,73.43,72.75,44.37,77.7
71.07,68.11,74.02,72.39,42.21,76.95
71.65,70.71,72.59,72.06,43.3,77.23
71.36,70.82,71.89,71.59,42.71,76.94
72.21,70.13,74.29,73.17,44.46,77.95
71.69+0.5,70.14+1.18,73.24+1.0,72.39+0.61,43.41+1.0,77.36+0.45
0.5,1.18,1.0,0.61,1.0,0.45
