76.58,76.6,76.57,76.58,53.17,85.16
77.96,78.35,77.56,77.74,55.91,85.83
77.62,78.28,76.97,77.26,55.25,85.16
77.77,77.75,77.78,77.77,55.53,85.98
77.93,78.42,77.43,77.65,55.86,86.42
77.57+0.57,77.88+0.76,77.26+0.49,77.4+0.5,55.14+1.14,85.71+0.55
0.57,0.76,0.49,0.5,1.14,0.55
